ENT_OCURR,total,mujeres
1,1342587,692005
2,3648116,1821117
3,839675,405556
4,952279,489754
5,3073513,1556977
6,763300,390014
7,5463342,2769688
8,3826987,1957737
9,8781315,4623291
10,1820740,940994
11,5964968,3124616
12,3630052,1896364
13,2990303,1544529
14,8222691,4224411
15,17674775,9087067
16,4695278,2450899
17,1994133,1041743
18,1296947,654524
19,5321301,2646114
20,4091380,2133887
21,6388085,3351400
22,2100098,1095407
23,1722567,854247
24,2831855,1482539
25,3066439,1560818
26,3061963,1540554
27,2460882,1285389
28,3672328,1886137
29,1334965,693346
30,8236730,4265961
31,2207156,1119959
32,1615040,839229